Frame,Object ID,X1,Y1,X2,Y2,Score
1,1,0,225,238,327,0.86
2,1,-2,226,241,331,0.85
3,1,-3,226,242,332,0.86
4,1,-5,225,244,333,0.88
5,1,-5,224,244,332,0.87
6,1,-2,227,241,333,0.86
7,1,0,227,239,331,0.85
8,1,0,229,239,333,0.85
9,1,0,230,238,334,0.85
10,1,0,231,238,334,0.85
11,1,0,231,238,334,0.85
12,1,0,231,238,334,0.85
13,1,0,231,238,334,0.85
14,1,0,231,238,334,0.85
15,1,0,231,238,334,0.85
16,1,0,231,238,334,0.85
17,1,0,231,238,334,0.85
18,1,0,231,239,334,0.85
19,1,0,231,239,334,0.85
20,1,0,231,239,334,0.85
21,1,0,231,239,334,0.85
22,1,0,231,239,334,0.85
23,1,0,231,239,334,0.85
24,1,0,231,239,334,0.85
25,1,0,231,239,334,0.85
26,1,0,231,239,334,0.85
27,1,0,231,239,334,0.85
28,1,0,231,239,334,0.85
29,1,0,231,239,334,0.85
30,1,0,231,239,334,0.85
31,1,0,231,239,334,0.85
32,1,0,231,239,334,0.85
33,1,0,231,239,334,0.85
34,1,0,231,239,334,0.85
35,1,0,231,239,334,0.85
36,1,0,231,239,334,0.85
37,1,0,231,239,334,0.85
38,1,0,231,239,334,0.85
39,1,0,231,239,334,0.85
40,1,0,231,239,334,0.85
41,1,0,231,239,334,0.85
42,1,0,231,239,334,0.85
43,1,0,231,239,334,0.85
44,1,0,231,239,334,0.85
45,1,0,231,239,334,0.85
46,1,0,231,239,334,0.85
47,1,0,231,239,334,0.85
48,1,0,231,239,334,0.85
49,1,0,231,239,334,0.85
50,1,0,231,239,334,0.85
51,1,0,231,239,334,0.85
52,1,0,231,239,334,0.85
53,1,0,231,239,334,0.85
54,1,0,231,239,334,0.85
55,1,0,231,239,334,0.85
56,1,0,231,239,334,0.85
57,1,0,231,239,334,0.85
58,1,0,231,239,334,0.85
59,1,0,231,239,334,0.85
60,1,0,231,239,334,0.85
61,1,0,231,239,334,0.85
62,1,0,231,239,334,0.85
63,1,0,231,239,334,0.85
64,1,0,231,239,334,0.85
65,1,0,231,239,334,0.85
66,1,0,231,239,334,0.85
67,1,0,231,239,334,0.85
68,1,0,231,239,334,0.85
69,1,0,231,239,334,0.85
70,1,0,231,239,334,0.85
71,1,0,231,239,334,0.85
72,1,0,231,239,334,0.85
73,1,0,231,239,334,0.85
74,1,0,231,239,334,0.85
75,1,0,231,239,334,0.85
76,1,0,231,239,334,0.85
77,1,0,231,239,334,0.85
78,1,0,231,239,334,0.85
79,1,0,231,239,334,0.85
80,1,0,231,240,334,0.85
81,1,0,231,240,334,0.85
82,1,0,231,240,334,0.85
83,1,0,231,240,334,0.85
84,1,0,231,240,334,0.85
85,1,0,231,240,334,0.85
86,1,0,231,240,334,0.85
87,1,0,231,240,334,0.85
88,1,0,231,240,334,0.85
89,1,0,231,240,334,0.85
90,1,0,231,240,334,0.85
91,1,0,231,240,334,0.85
92,1,0,231,240,334,0.85
93,1,0,231,240,334,0.85
94,1,0,231,240,334,0.85
95,1,0,231,240,334,0.85
96,1,0,231,240,334,0.85
97,1,0,231,240,334,0.85
98,1,0,231,240,334,0.85
99,1,0,231,240,334,0.85
100,1,0,231,240,334,0.85
101,1,0,231,240,334,0.85
102,1,0,231,240,334,0.85
103,1,0,231,240,334,0.85
104,1,0,231,240,334,0.85
105,1,0,231,240,334,0.85
106,1,0,231,240,334,0.85
107,1,0,231,240,334,0.85
108,1,0,231,240,334,0.85
109,1,0,231,240,334,0.85
110,1,0,231,240,334,0.85
111,1,0,231,240,334,0.85
112,1,0,231,240,334,0.85
113,1,0,231,240,334,0.85
114,1,0,231,240,334,0.85
115,1,0,231,240,334,0.85
116,1,0,231,240,334,0.85
117,1,0,231,240,334,0.85
118,1,0,231,240,334,0.85
119,1,0,231,240,334,0.85
120,1,0,231,240,334,0.85
121,1,0,231,240,334,0.85
122,1,0,231,240,334,0.85
123,1,0,231,240,334,0.85
124,1,0,231,240,334,0.85
125,1,0,231,240,334,0.85
126,1,0,231,240,334,0.85
127,1,0,231,240,334,0.85
128,1,0,231,240,334,0.85
129,1,0,231,240,334,0.85
130,1,0,231,240,334,0.85
131,1,0,231,240,334,0.85
132,1,0,231,240,334,0.85
133,1,0,231,240,334,0.85
134,1,0,231,240,334,0.85
135,1,0,231,240,334,0.85
136,1,0,231,240,334,0.85
137,1,0,231,240,334,0.85
138,1,0,231,240,334,0.85
139,1,0,231,240,334,0.85
140,1,0,231,240,334,0.85
141,1,0,231,240,334,0.85
142,1,0,231,240,334,0.85
143,1,0,231,240,334,0.85
144,1,0,231,240,334,0.85
145,1,0,231,240,334,0.85
146,1,0,231,240,334,0.85
147,1,0,231,240,334,0.85
148,1,0,231,240,334,0.85
149,1,0,231,240,334,0.85
150,1,0,231,240,334,0.85
